날짜,기준금리,기업대출금리,가계대출금리,기업연체율,가계연체율,회사채수익률,CD수익률
2021-01-01,0.5,2.84,2.76,0.4,0.2,,
2021-02-01,0.5,2.84,2.76,0.5,0.2,,
2021-03-01,0.5,2.84,2.76,0.4,0.2,,
2021-04-01,0.5,2.83,2.75,0.4,0.2,,
2021-05-01,0.5,2.81,2.74,0.5,0.2,,
2021-06-01,0.5,2.79,2.74,0.4,0.2,1.913,0.66
2021-07-01,0.5,2.79,2.75,0.4,0.2,1.888,0.69
2021-08-01,0.75,2.81,2.78,0.4,0.2,1.838,0.77
2021-09-01,0.75,2.86,2.81,0.3,0.2,1.953,0.98
2021-10-01,0.75,2.91,2.86,0.3,0.2,2.302,1.08
2021-11-01,1.0,3.0,2.93,0.4,0.2,2.492,1.17
2021-12-01,1.0,3.07,3.01,0.3,0.2,2.41,1.27
2022-01-01,1.25,3.15,3.09,0.3,0.2,2.632,1.39
2022-02-01,1.25,3.23,3.18,0.3,0.2,2.873,1.5
2022-03-01,1.25,3.3,3.25,0.3,0.2,3.028,1.5
2022-04-01,1.5,3.38,3.33,0.3,0.2,3.631,1.63
2022-05-01,1.75,3.48,3.42,0.3,0.2,3.775,1.77
2022-06-01,1.75,3.62,3.52,0.3,0.2,4.233,1.99
2022-07-01,2.25,3.78,3.64,0.3,0.2,4.126,2.41
2022-08-01,2.5,4.0,3.8,0.3,0.2,4.227,2.79
2022-09-01,2.5,4.24,3.98,0.3,0.2,4.9,3.01
2022-10-01,3.0,4.54,4.18,0.3,0.2,5.436,3.69
2022-11-01,3.25,4.87,4.43,0.3,0.3,5.487,3.99
2022-12-01,3.25,5.13,4.66,0.3,0.3,5.302,4.02
2023-01-01,3.5,5.24,4.84,0.4,0.3,4.704,3.8
2023-02-01,3.5,5.24,4.95,0.4,0.3,4.274,3.52
2023-03-01,3.5,5.23,5.01,0.4,0.3,4.184,3.61
2023-04-01,3.5,5.2,5.04,0.5,0.4,4.072,3.5
2023-05-01,3.5,5.21,5.06,0.5,0.4,4.139,3.64
2023-06-01,3.5,5.23,5.05,0.4,0.3,4.356,3.75
2023-07-01,3.5,5.26,5.03,0.5,0.4,4.437,3.75
2023-08-01,3.5,5.27,5.03,0.6,0.4,4.5,3.7
2023-09-01,3.5,5.28,5.04,0.5,0.4,4.602,3.76
2023-10-01,3.5,5.29,5.06,0.6,0.4,4.827,3.82
2023-11-01,3.5,5.31,5.08,0.6,0.4,4.583,3.83
2023-12-01,3.5,5.31,5.08,0.6,0.4,4.076,3.83
2024-01-01,3.5,5.29,5.07,0.6,0.4,4.013,3.74
2024-02-01,3.5,5.24,5.03,0.7,0.4,4.053,3.69
2024-03-01,3.5,5.18,5.0,0.6,0.4,3.944,3.65
2024-04-01,3.5,5.13,4.96,0.6,0.4,3.974,3.57
2024-05-01,3.5,5.08,4.92,0.7,0.4,3.876,3.6
2024-06-01,3.5,5.03,4.87,0.5,0.4,3.708,3.6
2024-07-01,3.5,4.99,4.82,0.7,0.4,3.542,3.54
2024-08-01,3.5,4.94,4.78,0.7,0.4,3.418,3.5
2024-09-01,3.5,4.89,4.74,0.6,0.4,3.448,3.52
2024-10-01,3.25,4.85,4.71,0.7,0.4,3.486,3.43
2024-11-01,3.0,4.82,4.7,0.7,0.4,3.428,3.42
2024-12-01,3.0,4.78,4.67,0.6,0.4,3.236,3.35
2025-01-01,3.0,4.72,4.64,0.7,0.4,3.229,3.04
2025-02-01,2.75,4.64,4.61,0.8,0.5,3.206,2.95
2025-03-01,2.75,4.54,4.57,0.7,0.4,3.161,2.84
2025-04-01,2.75,4.46,4.53,0.8,0.5,2.98,2.74
2025-05-01,2.5,4.38,4.48,0.9,0.5,2.908,2.67
2025-06-01,2.5,4.3,4.43,0.7,0.4,2.98,2.57
2025-07-01,2.5,4.25,4.39,0.8,0.5,2.957,2.51
2025-08-01,2.5,4.2,4.36,0.8,0.5,2.914,2.51
2025-09-01,2.5,4.16,4.33,0.7,0.4,2.926,2.56
2025-10-01,2.5,4.14,4.31,0.8,0.4,3.028,2.55
2025-11-01,2.5,4.15,4.31,0.8,0.5,3.299,2.69
2025-12-01,2.5,4.18,4.31,0.7,0.4,3.502,2.84
2026-01-01,2.5,4.2,4.33,0.8,0.4,3.545,2.7
2026-02-01,2.5,4.21,4.35,0.8,0.5,3.718,2.78
2026-03-01,2.5,4.22,4.37,0.8,0.4,3.969,2.82
2026-04-01,2.5,4.24,4.39,,,4.07,2.82
2026-05-01,2.5,,,,,4.316,2.82
2026-06-01,,,,,,4.482,2.9
